t,year,month,day,hour,plant,generation_mwh,on
0,2011,7,1,1,Scherer,2860.11,1
0,2011,7,1,1,Bowen,0.0,0
0,2011,7,1,1,Jack McDonough,0.0,0
0,2011,7,1,1,Edwin I Hatch,1626.41228,1
0,2011,7,1,1,Vogtle,2088.696,1
0,2011,7,1,1,OIL,0.0,0
0,2011,7,1,1,BIOMASS,470.95972,1
0,2011,7,1,1,GAS,1761.30524,1
0,2011,7,1,1,HYDRO,268.05618,1
0,2011,7,1,1,OTHER COAL,2136.7497200000007,1
1,2011,7,1,2,Scherer,2860.11,1
1,2011,7,1,2,Bowen,26.2237428,1
1,2011,7,1,2,Jack McDonough,4.30683,1
1,2011,7,1,2,Edwin I Hatch,1626.41228,1
1,2011,7,1,2,Vogtle,2088.696,1
1,2011,7,1,2,OIL,75.83748,1
1,2011,7,1,2,BIOMASS,470.95972,1
1,2011,7,1,2,GAS,1761.30524,1
1,2011,7,1,2,HYDRO,0.0,0
1,2011,7,1,2,OTHER COAL,1230.5790271999988,1
2,2011,7,1,3,Scherer,2860.11,1
2,2011,7,1,3,Bowen,0.0,0
2,2011,7,1,3,Jack McDonough,4.30683,1
2,2011,7,1,3,Edwin I Hatch,1626.41228,1
2,2011,7,1,3,Vogtle,2088.696,1
2,2011,7,1,3,OIL,0.0,0
2,2011,7,1,3,BIOMASS,0.0,0
2,2011,7,1,3,GAS,1761.30524,1
2,2011,7,1,3,HYDRO,268.05618,1
2,2011,7,1,3,OTHER COAL,372.14378899999997,1
3,2011,7,1,4,Scherer,2860.11,1
3,2011,7,1,4,Bowen,0.0,0
3,2011,7,1,4,Jack McDonough,4.30683,1
3,2011,7,1,4,Edwin I Hatch,1626.41228,1
3,2011,7,1,4,Vogtle,2088.696,1
3,2011,7,1,4,OIL,75.83748,1
3,2011,7,1,4,BIOMASS,0.0,0
3,2011,7,1,4,GAS,1369.2233139999985,1
3,2011,7,1,4,HYDRO,268.05618,1
3,2011,7,1,4,OTHER COAL,0.0,0
4,2011,7,1,5,Scherer,2860.11,1
4,2011,7,1,5,Bowen,26.2237428,1
4,2011,7,1,5,Jack McDonough,4.30683,1
4,2011,7,1,5,Edwin I Hatch,1626.41228,1
4,2011,7,1,5,Vogtle,2088.696,1
4,2011,7,1,5,OIL,75.83748,1
4,2011,7,1,5,BIOMASS,470.95972,1
4,2011,7,1,5,GAS,835.6254421999993,1
4,2011,7,1,5,HYDRO,0.0,0
4,2011,7,1,5,OTHER COAL,0.0,0
5,2011,7,1,6,Scherer,2860.11,1
5,2011,7,1,6,Bowen,26.2237428,1
5,2011,7,1,6,Jack McDonough,4.30683,1
5,2011,7,1,6,Edwin I Hatch,1626.41228,1
5,2011,7,1,6,Vogtle,2088.696,1
5,2011,7,1,6,OIL,0.0,0
5,2011,7,1,6,BIOMASS,470.95972,1
5,2011,7,1,6,GAS,498.7008602000001,1
5,2011,7,1,6,HYDRO,268.05618,1
5,2011,7,1,6,OTHER COAL,0.0,0
6,2011,7,1,7,Scherer,2860.11,1
6,2011,7,1,7,Bowen,26.2237428,1
6,2011,7,1,7,Jack McDonough,4.30683,1
6,2011,7,1,7,Edwin I Hatch,1626.41228,1
6,2011,7,1,7,Vogtle,2088.696,1
6,2011,7,1,7,OIL,0.0,0
6,2011,7,1,7,BIOMASS,470.95972,1
6,2011,7,1,7,GAS,131.6420372000007,1
6,2011,7,1,7,HYDRO,268.05618,1
6,2011,7,1,7,OTHER COAL,0.0,0
7,2011,7,1,8,Scherer,2860.11,1
7,2011,7,1,8,Bowen,26.2237428,1
7,2011,7,1,8,Jack McDonough,0.0,0
7,2011,7,1,8,Edwin I Hatch,1626.41228,1
7,2011,7,1,8,Vogtle,2088.696,1
7,2011,7,1,8,OIL,75.83748,1
7,2011,7,1,8,BIOMASS,0.0,0
7,2011,7,1,8,GAS,320.04396200000065,1
7,2011,7,1,8,HYDRO,268.05618,1
7,2011,7,1,8,OTHER COAL,43.9683212,1
8,2011,7,1,9,Scherer,2746.040226400001,1
8,2011,7,1,9,Bowen,0.0,0
8,2011,7,1,9,Jack McDonough,0.0,0
8,2011,7,1,9,Edwin I Hatch,1626.41228,1
8,2011,7,1,9,Vogtle,2088.696,1
8,2011,7,1,9,OIL,75.83748,1
8,2011,7,1,9,BIOMASS,470.95972,1
8,2011,7,1,9,GAS,17.6130524,1
8,2011,7,1,9,HYDRO,268.05618,1
8,2011,7,1,9,OTHER COAL,43.9683212,1
9,2011,7,1,10,Scherer,2860.11,1
9,2011,7,1,10,Bowen,26.2237428,1
9,2011,7,1,10,Jack McDonough,0.0,0
9,2011,7,1,10,Edwin I Hatch,1626.41228,1
9,2011,7,1,10,Vogtle,2088.696,1
9,2011,7,1,10,OIL,75.83748,1
9,2011,7,1,10,BIOMASS,0.0,0
9,2011,7,1,10,GAS,693.5733740000005,1
9,2011,7,1,10,HYDRO,268.05618,1
9,2011,7,1,10,OTHER COAL,43.9683212,1
10,2011,7,1,11,Scherer,2860.11,1
10,2011,7,1,11,Bowen,619.8196679999998,1
10,2011,7,1,11,Jack McDonough,0.0,0
10,2011,7,1,11,Edwin I Hatch,1626.41228,1
10,2011,7,1,11,Vogtle,2088.696,1
10,2011,7,1,11,OIL,0.0,0
10,2011,7,1,11,BIOMASS,470.95972,1
10,2011,7,1,11,GAS,0.0,0
10,2011,7,1,11,HYDRO,268.05618,1
10,2011,7,1,11,OTHER COAL,0.0,0
11,2011,7,1,12,Scherer,2860.11,1
11,2011,7,1,12,Bowen,0.0,0
11,2011,7,1,12,Jack McDonough,4.30683,1
11,2011,7,1,12,Edwin I Hatch,1626.41228,1
11,2011,7,1,12,Vogtle,2088.696,1
11,2011,7,1,12,OIL,0.0,0
11,2011,7,1,12,BIOMASS,470.95972,1
11,2011,7,1,12,GAS,1126.4925479999997,1
11,2011,7,1,12,HYDRO,0.0,0
11,2011,7,1,12,OTHER COAL,0.0,0
12,2011,7,1,13,Scherer,2860.11,1
12,2011,7,1,13,Bowen,0.0,0
12,2011,7,1,13,Jack McDonough,0.0,0
12,2011,7,1,13,Edwin I Hatch,1626.41228,1
12,2011,7,1,13,Vogtle,2088.696,1
12,2011,7,1,13,OIL,0.0,0
12,2011,7,1,13,BIOMASS,0.0,0
12,2011,7,1,13,GAS,1761.30524,1
12,2011,7,1,13,HYDRO,268.05618,1
12,2011,7,1,13,OTHER COAL,258.44473700000003,1
13,2011,7,1,14,Scherer,2860.11,1
13,2011,7,1,14,Bowen,26.2237428,1
13,2011,7,1,14,Jack McDonough,4.30683,1
13,2011,7,1,14,Edwin I Hatch,1626.41228,1
13,2011,7,1,14,Vogtle,2088.696,1
13,2011,7,1,14,OIL,0.0,0
13,2011,7,1,14,BIOMASS,470.95972,1
13,2011,7,1,14,GAS,1761.30524,1
13,2011,7,1,14,HYDRO,0.0,0
13,2011,7,1,14,OTHER COAL,1304.7459171999992,1
14,2011,7,1,15,Scherer,2860.11,1
14,2011,7,1,15,Bowen,26.2237428,1
14,2011,7,1,15,Jack McDonough,4.30683,1
14,2011,7,1,15,Edwin I Hatch,1626.41228,1
14,2011,7,1,15,Vogtle,2088.696,1
14,2011,7,1,15,OIL,75.83748,1
14,2011,7,1,15,BIOMASS,470.95972,1
14,2011,7,1,15,GAS,1761.30524,1
14,2011,7,1,15,HYDRO,268.05618,1
14,2011,7,1,15,OTHER COAL,2149.793437199999,1
15,2011,7,1,16,Scherer,2860.11,1
15,2011,7,1,16,Bowen,26.2237428,1
15,2011,7,1,16,Jack McDonough,4.30683,1
15,2011,7,1,16,Edwin I Hatch,1626.41228,1
15,2011,7,1,16,Vogtle,2088.696,1
15,2011,7,1,16,OIL,0.0,0
15,2011,7,1,16,BIOMASS,0.0,0
15,2011,7,1,16,GAS,1761.30524,1
15,2011,7,1,16,HYDRO,268.05618,1
15,2011,7,1,16,OTHER COAL,3154.667107200001,1
16,2011,7,1,17,Scherer,2860.11,1
16,2011,7,1,17,Bowen,0.0,0
16,2011,7,1,17,Jack McDonough,4.30683,1
16,2011,7,1,17,Edwin I Hatch,1626.41228,1
16,2011,7,1,17,Vogtle,2088.696,1
16,2011,7,1,17,OIL,75.83748,1
16,2011,7,1,17,BIOMASS,470.95972,1
16,2011,7,1,17,GAS,1761.30524,1
16,2011,7,1,17,HYDRO,268.05618,1
16,2011,7,1,17,OTHER COAL,2766.575999999999,1
17,2011,7,1,18,Scherer,2860.11,1
17,2011,7,1,18,Bowen,0.0,0
17,2011,7,1,18,Jack McDonough,4.30683,1
17,2011,7,1,18,Edwin I Hatch,1626.41228,1
17,2011,7,1,18,Vogtle,2088.696,1
17,2011,7,1,18,OIL,0.0,0
17,2011,7,1,18,BIOMASS,0.0,0
17,2011,7,1,18,GAS,1761.30524,1
17,2011,7,1,18,HYDRO,268.05618,1
17,2011,7,1,18,OTHER COAL,3555.961439999999,1
18,2011,7,1,19,Scherer,2860.11,1
18,2011,7,1,19,Bowen,0.0,0
18,2011,7,1,19,Jack McDonough,4.30683,1
18,2011,7,1,19,Edwin I Hatch,1626.41228,1
18,2011,7,1,19,Vogtle,2088.696,1
18,2011,7,1,19,OIL,0.0,0
18,2011,7,1,19,BIOMASS,470.95972,1
18,2011,7,1,19,GAS,1761.30524,1
18,2011,7,1,19,HYDRO,268.05618,1
18,2011,7,1,19,OTHER COAL,3414.64877,1
19,2011,7,1,20,Scherer,2860.11,1
19,2011,7,1,20,Bowen,26.2237428,1
19,2011,7,1,20,Jack McDonough,4.30683,1
19,2011,7,1,20,Edwin I Hatch,1626.41228,1
19,2011,7,1,20,Vogtle,2088.696,1
19,2011,7,1,20,OIL,75.83748,1
19,2011,7,1,20,BIOMASS,470.95972,1
19,2011,7,1,20,GAS,1761.30524,1
19,2011,7,1,20,HYDRO,268.05618,1
19,2011,7,1,20,OTHER COAL,3400.9699071999985,1
20,2011,7,1,21,Scherer,2860.11,1
20,2011,7,1,21,Bowen,0.0,0
20,2011,7,1,21,Jack McDonough,4.30683,1
20,2011,7,1,21,Edwin I Hatch,1626.41228,1
20,2011,7,1,21,Vogtle,2088.696,1
20,2011,7,1,21,OIL,0.0,0
20,2011,7,1,21,BIOMASS,0.0,0
20,2011,7,1,21,GAS,1761.30524,1
20,2011,7,1,21,HYDRO,268.05618,1
20,2011,7,1,21,OTHER COAL,3798.6967299999997,1
21,2011,7,1,22,Scherer,2860.11,1
21,2011,7,1,22,Bowen,0.0,0
21,2011,7,1,22,Jack McDonough,0.0,0
21,2011,7,1,22,Edwin I Hatch,1626.41228,1
21,2011,7,1,22,Vogtle,2088.696,1
21,2011,7,1,22,OIL,75.83748,1
21,2011,7,1,22,BIOMASS,470.95972,1
21,2011,7,1,22,GAS,1761.30524,1
21,2011,7,1,22,HYDRO,268.05618,1
21,2011,7,1,22,OTHER COAL,3079.441649999999,1
22,2011,7,1,23,Scherer,2860.11,1
22,2011,7,1,23,Bowen,0.0,0
22,2011,7,1,23,Jack McDonough,0.0,0
22,2011,7,1,23,Edwin I Hatch,1626.41228,1
22,2011,7,1,23,Vogtle,2088.696,1
22,2011,7,1,23,OIL,75.83748,1
22,2011,7,1,23,BIOMASS,470.95972,1
22,2011,7,1,23,GAS,1761.30524,1
22,2011,7,1,23,HYDRO,268.05618,1
22,2011,7,1,23,OTHER COAL,2516.58871,1
23,2011,7,1,24,Scherer,2860.11,1
23,2011,7,1,24,Bowen,26.2237428,1
23,2011,7,1,24,Jack McDonough,0.0,0
23,2011,7,1,24,Edwin I Hatch,1626.41228,1
23,2011,7,1,24,Vogtle,2088.696,1
23,2011,7,1,24,OIL,0.0,0
23,2011,7,1,24,BIOMASS,470.95972,1
23,2011,7,1,24,GAS,1761.30524,1
23,2011,7,1,24,HYDRO,0.0,0
23,2011,7,1,24,OTHER COAL,2190.2880372,1
